start_s,end_s
8029.891161868643,8037.091136011032
8074.411001982417,8077.650990346492
8117.650846693099,8122.930827730851
8123.490825719703,8125.65081796242
8134.330786789634,8142.210758489915
8156.570706918347,8165.450675027294
8180.1306223064985,8184.490606648279
8189.570588404298,8206.77052663334
8229.610444607251,8240.730404671609
8259.690336579899,8267.570308280181
8305.290172815032,8309.530157587771
8318.450125553065,8331.210079727633
8361.329971556628,8364.849958915129
8374.449924438315,8381.609898724357
8407.449805924265,8418.72976541401
8444.609672470264,8459.529618887547
8486.329522639775,8489.32951186577
8498.929477388956,8506.049451818652
8530.329364621042,8534.529349537435
8571.809215652473,8576.969197121185
8600.72911179107,8607.849086220765
8717.808691317588,8721.768677095903
8726.928658564615,8731.328642762743
8735.848626529909,8754.528559443774
8769.168506866632,8772.84849365052
8779.56846951675,8790.368430730334
8805.848375136471,8811.84835358846
8818.288330460266,8823.52831164167
8837.608261075677,8842.568243262656
8858.808184939378,8862.048173303454
8882.368100327529,8887.488081939895
8906.328014279146,8910.367999770155
8917.72797333793,8925.447945612825
8943.247881687064,8948.487862868471
8966.76779721887,8973.447773228754
8978.127756421307,8983.007738895592
9002.527668792736,9006.407654858358
9012.527632879388,9017.727614204447
9118.48725234155,9123.287235103144
9129.287213555133,9135.247192150779
9147.807147043613,9153.927125064643
9170.007067315979,9173.76705381256
9179.287033988392,9214.846906280525
9242.206808021605,9245.56679595472
9251.68677397575,9258.926747974487
9280.006672269148,9286.286649715566
9301.046596707463,9307.686572861001
9339.76645765098,9342.886446446015
9352.326412543815,9357.446394156179
9366.446361834167,9369.286351634775
9382.646303654543,9387.326286847096
9397.686249640867,9402.326232977073
9422.64616000115,9427.286143337355
9442.926087168878,9457.846033586164
9490.565916077687,9495.765897402747
9515.485826581624,9519.685811498017
9536.725750301672,9541.085734643451
9638.24538570936,9642.045372062288
9646.485356116762,9659.525309285755
9674.08525699592,9681.605229989082
9704.605147388382,9712.725118226743
9730.765053439061,9736.805031747399
9752.524975291615,9758.284954605528
9772.844902315692,9780.044876458081
9789.644841981268,9794.604824168247
9810.124768430731,9814.72475191059
9830.40469559846,9836.804672613916
9861.564583692467,9866.084567459633
9886.004495920244,9889.524483278745
9903.044434723897,9912.524400678043
9938.964305723151,9943.68428877205
9967.564203010976,9973.124183043154
9981.444153163247,9999.004090099408
10029.363981066483,10033.683965551916
10079.043802648968,10087.883770901568
10116.843666896511,10122.323647215997
10151.603542061714,10156.283525254266
10174.363460322933,10178.963443802792
10195.723383612021,10200.363366948228
10216.00331077975,10223.003285640407
10243.203213095443,10246.443201459519
10256.20316640809,10263.803139113945
10290.443043440786,10295.043026920646
10317.082947767625,10331.602895621445
10362.88278328449,10371.24275326093
10426.242555737515,10428.922546112739
10437.242516232833,10440.722503734987
10468.962402315692,10473.602385651899
10496.402303769464,10501.242286387404
10528.722187697524,10532.362174625065
10537.522156093777,10549.122114434293
10568.922043325863,10573.362027380337
10578.762007987129,10589.961967764179
10608.481901252657,10620.081859593174
10643.081776992472,10648.961755875423
10658.56172139861,10670.641678015285
10694.681591679595,10698.40157831983
10704.001558208354,10721.761494426248
