start_s,end_s
7371.6535258288795,7378.813500114922
7406.693399988508,7411.053384330287
7427.733324426823,7432.213308337643
7450.413242975349,7456.213222145607
7473.573159800034,7481.213132362236
7509.253031661207,7513.853015141068
7526.972968022755,7532.692947480319
7547.172895477791,7562.252841320462
7583.452765184164,7587.292751393437
7594.8127243866,7598.292711888755
7604.012691346319,7614.012655432971
7806.171965322071,7809.931951818652
7820.9319123139685,7825.091897374015
7825.211896943056,7828.2118861690515
7844.891826265586,7849.011811469287
7860.41177052807,7868.051743090272
7887.411673562029,7890.971660776877
7901.691622277768,7912.211584496926
7917.531565391025,7920.611554329713
7936.051498879503,7945.651464402689
7974.5313606849395,7978.251347325174
7989.051308538757,7994.011290725737
8016.091211429064,8022.091189881055
8030.011161437683,8037.371135005458
8118.530843532724,8122.010831034879
8134.37078664598,8142.6507569097275
8156.570706918347,8166.130672585186
8180.250621875539,8184.570606360972
8189.730587829685,8207.290524765845
8229.730444176292,8240.010407257369
8260.930332126645,8266.930310578635
8305.250172958686,8309.370158162386
8318.570125122105,8332.530074987071
8361.209971987588,8365.249957478596
8375.2099217089,8381.209900160891
8407.369806211573,8419.449762828248
8444.609672470264,8459.449619174855
8486.24952292708,8490.089509136356
8499.049476957996,8505.329454404413
8530.289364764696,8534.689348962822
8571.72921593978,8576.969197121185
8600.769111647416,8608.169085071539
8717.888691030283,8721.888676664943
8727.128657846348,8731.608641757168
8735.968626098947,8754.8085584382
8769.288506435672,8772.888493506867
8779.56846951675,8790.488430299374
8806.928371257829,8812.048352870195
8818.56832945469,8823.688311067057
8837.768260501063,8841.208248146871
8883.08809774177,8887.008083663735
8906.368014135494,8910.4079996265
8917.887972763316,8923.767951646267
8943.327881399759,8948.287863586738
8967.00779635695,8971.407780555077
8978.44775527208,8983.60773674079
9002.527668792736,9006.207655576625
9012.527632879388,9018.64761090042
9118.687251623283,9123.247235246796
9129.727211974947,9134.88719344366
9147.927146612652,9154.487123053495
9170.207066597713,9173.2870555364
9179.407033557432,9215.84690268919
9242.486807016032,9245.56679595472
9251.806773544791,9261.046740360856
9280.246671407229,9287.286646124232
9301.166596276504,9308.606569556972
9339.88645722002,9343.40644457852
9352.406412256507,9357.966392288685
9382.766303223581,9387.286286990748
9397.686249640867,9402.286233120725
9422.686159857496,9427.48614261909
9443.006086881573,9457.926033298856
9490.485916364994,9495.765897402747
9515.40582686893,9519.725811354363
9536.685750445326,9541.205734212492
9625.485431534793,9629.205418175026
9638.325385422053,9641.845372780555
9646.365356547722,9658.605312589783
9674.20525656496,9681.565230132735
