start_s,end_s
3009.595644462726,3012.632000076444
3020.2062058381352,3023.743059629938
3046.8660754574807,3050.0692637972265
3056.4089073863074,3063.7161807863536
3099.9856154249374,3103.2889034003006
3111.6639062469285,3131.583733734725
3164.3163145815056,3170.0887269020895
3195.580767439236,3205.4238982749143
3233.9189278805725,3238.1898456669005
3244.162457258719,3250.5021008477997
3277.5957355548194,3285.470240223362
3375.426446097899,3378.9299333444965
3398.4493622898244,3404.922472059728
3409.326856026879,3411.996179643334
3427.344790437951,3431.1152100461936
3436.887622366778,3452.436432432629
3477.4613413368957,3483.967817652005
3502.085851698694,3504.5883425891207
3509.9937229124425,3518.735757756333
3542.726303759223,3547.564452814048
3557.3408505593147,3562.2790992497567
3582.53259218961,3612.7293156007586
3644.0605015489004,3647.6974549763204
3655.238294192806,3672.9892962422327
3704.787613823254,3708.958431973965
3715.9987730123653,3721.1705875192474
3742.458443360477,3745.661631700223
3750.8668127523106,3758.6078512400304
3778.2941129113865,3784.9340554073187
3810.7931279417276,3816.3653409910776
3837.78666301313,3845.694534226878
3901.0829992683216,3920.3354958520044
3945.260305120654,3951.2996498028833
3971.9869078304105,3975.623861257831
3982.4306364797912,3988.236415345581
4021.5362274608588,4037.0850375267096
4068.616422746086,4071.98644381186
4078.7264859434094,4083.6647346338514
4106.087053012075,4112.593529327183
4141.02182584243,4151.799219943868
4155.970038094579,4158.9730271630915
4164.94563875491,4171.218549253579
4210.557706051086,4216.396851462082
4238.285305117013,4241.788792363611
4248.695667221188,4260.740990040442
4279.993486624125,4283.864005867985
4294.507933788599,4298.445186122871
4304.584630440718,4310.52387548733
4325.438721194273,4328.742009169636
4337.050278925853,4340.120001084776
4344.491018506721,4350.396897008129
4366.613037978093,4370.283357950719
4375.855571000069,4391.471114156331
4411.858073277007,4443.0557930443265
4468.114068493799,4473.3526160910915
4489.535390515851,4495.774934469315
4517.062790310544,4530.042376395557
4556.068281655995,4582.594685094517
4646.424886073,4661.840229958028
4687.532469766409,4690.735658106155
4697.375600602087,4706.2511016268
4728.506587278995,4732.844238155734
4755.3666561695745,4761.43936739701
4786.330810120454,4789.500631914994
4797.008104586274,4800.511591832871
4808.285996865797,4814.29197500282
4842.5200722468335,4845.656527496169
4852.263103446895,4871.582333120989
4902.1460885294,4905.482743049968
4911.955852819872,4920.297489121294
4947.291024192697,4978.722309776455
5020.263658557538,5026.703401782236
5053.930502670079,5090.934001303187
5135.745271514427,5142.885712188445
5177.28662029551,5181.524171536633
5223.26571958895,5226.402174838284
5234.610344958884,5237.746800208219
5244.053077252093,5252.561546279544
5269.812050150886,5273.348903942689
5288.630781646894,5292.734866707194
5310.185569849769,5316.058081805971
5334.7767136663615,5337.879802370491
5343.752314326692,5356.765266956911
5376.0177635405935,5378.75382024746
5379.821549694042,5384.392766387221
5407.715981485998,5410.752337099715
5416.491382875094,5424.632819905282
5446.521273560214,5452.060120064358
5561.035256706138,5570.377889363731
5591.131880481669,5595.5362644488205
5604.545231654356,5606.613957457109
5613.721031585921,5616.790753744845
5623.897827873656,5627.901813298338
5638.846040125804,5647.020843701198
5672.612983873962,5675.64933948768
5682.4894812548455,5687.360996854876
5716.7569231810885,5720.493976244125
5731.4382030715915,5736.00941976477
5747.85454331279,5751.191197833359
5756.963610153944,5760.300264674512
5775.4820427431005,5780.253458707514
5786.659835387007,5791.19768553498
5808.481555951527,5812.3520751953865
5827.26692090233,5831.13744014619
5837.810749187327,5846.319218214778
5867.640440601213,5870.8769954861655
5877.550304527303,5883.68974884515
5908.848123930239,5911.851112998751
5918.12402349742,5921.861076560458
6021.026448911765,6029.101152851542
6050.8227737804455,6053.992595574986
6061.23313588462,6070.041903818922
6105.210242465718,6110.14849115616
6115.620604569893,6126.564831397359
6151.55637375642,6155.66045881672
6175.279987397665,6178.950307370291
6195.199814885461,6198.970234493704
6205.510077354019,6218.422930348621
6250.488180291288,6253.624635540622
6259.864179494086,6267.10471980372
6277.381615727073,6282.253131327104
6290.995166170994,6294.698852688825
